abook 0.6.2+r8+gb5e4a4daec1c-1
act 0.2.81-1
activitywatch-bin 0.13.2-1
addlicense 1.1.1-1
adobe-source-han-sans-otc-fonts 2.005-1
aerc 0.21.0-1
aircrack-ng 1.7-5
alacritty 0.15.1-1
alsa-firmware 1.2.4-4
alsa-utils 1.2.14-1
android-file-transfer 4.5-2
android-studio 2025.1.3.7-1
anki 25.09-1
ansible 12.0.0-1
aoc-cli 0.12.0-1
apache-tools 2.4.65-1
appimagetool-bin 13-0
arandr 0.1.11-4
archlinux-keyring 20250807.1-1
arduino-cli 1.2.2-1
arduino-ide-bin 2.3.6-1
aria2 1.37.0-2
arp-scan 1.10.0-4
asciidoc 10.2.1-2
audacity 1:3.7.5-1
aurutils 20.5.3-1
autorandr 1.15-1
autossh 1.4g-4
base 3-2
base-devel 1-2
bat 0.25.0-4
bc 1.08.2-1
bibclean 3.07-1
bind 9.20.13-1
bitwarden 2025.8.1-1
blas-openblas 0.3.30-1
bluez 5.83-1
bluez-utils 5.83-1
bmon 4.0-5
boost 1.88.0-3
bottom-git 0.9.6.1972.g77777ef5-1
brave-nightly-bin 1.84.72-1
brightness-controller-git 2.4.r12.gdab46e3-1
brightnessctl-git 0.5.1.r18.g0f9ef0a-1
brother-hl1210w 3.0.1-2
bspwm 0.9.10-4
cadaver 0.26-1
caddy 2.10.0-3
caffeine-ng 4.2.0-2
calibre 8.7.0-2
ccls 0.20241108-3
chromium 140.0.7339.127-1
cloc 2.06-1
cloudflared 2025.8.1-1
cmake 4.1.1-1
copyq 11.0.0-2
cppcheck 2.18.3-1
cronie 1.7.2-1
crunch 3.6-1
cuda 12.9.1-2
cups 2:2.4.14-1
curl-impersonate-bin 1.2.1-1
dbus-daemon-units 1.16.2-1
ddcci-driver-linux-dkms 0.4.5-1
debtap 3.6.3-1
deluge-gtk 1:2.2.0-1
dhcpcd 10.2.4-1
dialog 1:1.3_20250116-1
diff-pdf 0.5.2-2
discord 1:0.0.110-1
dnsmasq 2.91-1
docker 1:28.4.0-1
docker-buildx 0.28.0-1
docker-compose 2.39.3-1
downgrade 11.5.4-1
dpkg 1.22.21-1
dropbear 2025.88-2
ds4drv 0.5.1-6
dualsensectl 0.7-1
duf 0.9.1-1
dunst 1.13.0-1
dust 1.2.3-1
easy-rsa 3.2.4-1
efibootmgr 18-3
eigen 3.4.0-2
emscripten 4.0.14-1
espeak-ng 1.52.0-1
evdi 1.14.10-1
eza 0.23.3-1
f3 9.0-1
fd 10.3.0-1
feh 3.11.2-1
file-roller 44.5-1
firefox 143.0-1
flameshot 13.1.0-1
flatpak 1:1.16.1-1
flatseal 2.3.1-4
flent 2.2.0-2
floorp-bin 12.1.4-1
fontforge 20230101-6
freerdp 2:3.17.1-1
freetube-bin 0.23.9-1
fuse3 3.17.1-1
fzf 0.65.2-1
gcovr 8.3-1
gdb 16.3-1
geckodriver 0.36.0-1
ghidra 11.0.3-1
gimp 3.0.4-4
git 2.51.0-1
git-delta 0.18.2-4
git-filter-repo 2.47.0-2
git-lfs 3.7.0-1
github-cli 2.79.0-1
glfw 1:3.4-1
glmark2 2023.01-2
gmtp 1.3.11-6
gnome-keyring 1:48.0-1
gnome-settings-daemon 48.1-1
gnu-netcat 0.7.1-12
go-mtpfs-git 20200111-1
google-chrome 140.0.7339.127-1
gparted 1.7.0-1
gpicview 0.3.1-1
gping 1.20.1-1
gpodder 3.11.5-1
grim 1.5.0-2
grub 2:2.12.r359.g19c698d12-1
gvfs-mtp 1.57.2-4
gvfs-smb 1.57.2-4
hashcat 1:7.1.2-1
hashcat-utils 1.9-3
hcxdumptool 6.3.5-1
hcxtools 6.3.5-1
helix 25.07.1-1
hplip-plugin 3.25.6-2
htop 3.4.1-1
hyprcursor 0.1.13-1
hyprland 0.51.0-2
hyprlang 0.6.4-1
hyprpaper 0.7.5-3
icat 0.5-2
id3v2 0.1.12-7
imapfilter 2.8.3-1
inetutils 2.6-1
inkscape 1.4.2-8
intellij-idea-community-edition 4:2025.2.1-1
iperf3 3.19.1-1
isync 1.5.1-2
iwd 3.9-1
jdk-openjdk 24.0.2.u12-1
jmtpfs 0.5-3
kitty 0.42.2-1
lazydocker 0.24.1-2
lazygit 0.55.0-1
lcov 2.3.2-1
less 1:679-1
lib32-expat 2.7.1-1
lib32-gnutls 3.8.10-1
lib32-libgudev 238-3
lib32-libnm 1.54.0-1
lib32-nvidia-utils 580.82.09-1
lib32-openssl-1.1 1.1.1.w-2
lib32-sqlite 3.50.4-1
libc++ 20.1.6-2
libdisplay-info 0.2.0-2
libliftoff 0.5.0-1
libmpdclient 2.23-1
libngtcp2 1.15.1-1
libreoffice-fresh 25.8.1-2
libusbsio 2.1.13-1
libva 2.22.0-1
libzip 1.11.4-1
light 1.2.2-5
linux 6.16.7.arch1-1
linux-firmware 20250808-1
linux-firmware-whence 20250808-1
linux-headers 6.16.7.arch1-1
linux-lts 6.12.47-1
linux-lts-docs 6.12.47-1
linux-lts-headers 6.12.47-1
llvm14 14.0.6-5
localsend-bin 1.17.0-1
lshw B.02.20-1
lua51 5.1.5-13
luarocks 3.12.2-1
lutris-git 0.5.19.r183.g9677913-1
lynx 2.9.2-2
mako 1.10.0-1
man-db 2.13.1-1
maven 3.9.11-1
mdformat 0.7.22-1
mesa-utils 9.0.0-7
meson 1.9.0-1
mise 2025.9.7-1
mitmproxy 12.1.1-1
mosh 1.4.0-25
mosquitto 2.0.22-2
mpv 1:0.40.0-5
msmtp 1.8.31-1
msmtp-mta 1.8.31-1
mtpfs 1.1-5
mupdf 1.26.8-1
mutt-wizard-git 3.3.1.r162.gb7b7f21-1
myip 1.0.2-1
mypaint 2.0.1-6
nautilus 48.4.1-1
nccl 2.27.7-1
ncdu 2.8.2-3
neofetch 7.1.0-2
neomutt 20250905-1
nethogs 0.8.8-2
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.3-1
newsflash 4.1.4-1
ninja 1.12.1-2
nitch 0.1.6-3
nmap 7.97-1
noisetorch 0.12.2-4
notmuch 0.39-2
noto-fonts 1:2025.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.09.01-1
npm 11.6.0-1
nsxiv 33-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-3
nushell 0.107.0-1
nvidia 580.82.09-2
nvidia-lts 1:580.82.09-2
nvidia-prime 1.0-5
nvidia-settings 580.82.09-1
nvidia-utils 580.82.09-1
nvtop 3.2.0-1
obs-studio 31.1.2-1
obsidian 1.9.12-1
oci-cli 3.66.1-1
okular 25.08.1-1
ollama 0.11.11-1
ollama-cuda 0.11.11-1
onvif-gui 3.0.10-2
openaudible-bin 4.6.3-1
openmp 20.1.8-1
openssl-1.1 1.1.1.w-2
openvpn 2.6.14-1
pahole 1:1.30-2
pam-gnupg 0.4-1
pamixer 1.6-3
papirus-icon-theme 20250501-1
paru 2.1.0-1
pass 1.7.4-7
patchelf 0.18.0-3
pavucontrol 1:6.1-1
pavucontrol-qt 2.2.0-1
pdf2svg 0.2.4-1
pdfarranger 1.12.1-1
pdfpc 4.7.0-2
peek 1.5.1-4
perf 6.16-1
perl-image-exiftool 13.36-1
picom 12.5-3
pipewire 1:1.4.8-1
pipewire-alsa 1:1.4.8-1
pipewire-media-session 1:0.4.3-1
pipewire-pulse 1:1.4.8-1
plasma-activities 6.4.5-1
playonlinux 4.4+29+gd0ae9ce6-3
plex-desktop 1.110.0.351-1
plocate 1.1.23-1
pomo 0.8.2-1
powertop 2.15-2
pre-commit 4.3.0-1
prettier 3.6.2-2
procs 0.14.10-1
protontricks 1.13.0-3
proxychains-ng 4.17-2
pulsemixer 1.5.1-7
pybind11 3.0.1-1
python-babel 2.17.0-1
python-bluepy 1.3.0-11
python-dbus 1.4.0-1
python-distutils-extra 2.39-14
python-lxml 6.0.1-1
python-matplotlib 3.10.6-1
python-pandocfilters 1.5.1-3
python-poetry 2.1.2-1
python-pybluez 0.23.r58.g4d46ce1-4
python-pybtex 0.24.0-7
python-scipy 1.16.2-1
python-setuptools 1:80.9.0-2
python-sphinx 8.2.3-1
python-wheel 0.45.1-1
qbittorrent 5.1.2-1
qemu-base 10.1.0-1
qemu-hw-usb-host 10.1.0-1
qrencode 4.1.1-4
qutebrowser 3.5.1-2
ranger 1.9.4-4
rclone 1.71.0-1
redshift 1.12-14
reflector 2023-3
restic 0.18.0-1
reuse 5.1.1-1
ripgrep 14.1.1-1
rofi 2.0.0-1
rofi-bluetooth-git r33.9d91c04-2
ruby-dotenv 3.1.8-1
samba 2:4.22.4-1
scid 5.1.0-2
scrcpy 3.3.2-1
seahorse 1:47.0.1-6
seatd 0.9.1-1
semver 7.7.2-1
simple-mtpfs 0.4.0-1
simple-scan 48.1-1
slock 1.6-1
socat 1.8.0.3-2
solaar 1.1.14-2
speech-dispatcher 0.12.1-2
speedtest-cli 2.1.3-9
spotify 1:1.2.63.394-1
sshs 4.7.2-1
sshx 0.4.1-1
